Year,Total Passengers
1984,13299666
1985,14360280
1986,15088784
1987,15875026
1988,17188797
1989,12935552
1990,15578005
1991,19644591
1992,20698976
1993,23000492
1994,26148179
1995,27814635
1996,29026332
1997,29202250
1998,29449378
1999,30416589
2000,32671498
2001,32631010
2002,31060313
2003,33979683
2004,38822111
2005,41556077
2006,44256699
2007,47195672
2008,50459239
2009,50450430
2010,53967293
2011,54324589
2012,56571415
2013,57567613
2014,57554550
2015,57555121
2016,58992966
2017,59995658
2018,61112315
2019,61389589
2020,19445556
